Model,Age,Afraid,Angry,Attractive,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Warm,Competent,SocialStatus
IM717-110,28.26086957,2.391304348,2.695652174,4.217391304,2.130434783,2.347826087,,1.826086957,3.043478261,5.086956522,3.882352941,3.043478261,,2.434782609,2.391304348,4.52173913,2.956521739,3.826086957,4.043478261,5.043478261
IM719-220,21.08695652,2.826086957,2.52173913,3.130434783,2.391304348,2.652173913,,1.739130435,2.695652174,4.739130435,3.545454545,2.739130435,,2.695652174,3.086956522,3.173913043,3.347826087,3.608695652,3.217391304,3.347826087
IM720-014,20.0952381,3.714285714,2.952380952,3.428571429,2.619047619,3.238095238,,2.476190476,3.428571429,4.80952381,3.931034483,3.380952381,,3.19047619,3.238095238,4.19047619,3.19047619,3.333333333,3.857142857,3.142857143
IM721-341,30.35714286,3.071428571,3.142857143,3.428571429,2.928571429,3.071428571,,1.785714286,3.285714286,5,3.766666667,3.714285714,,2.785714286,3.214285714,4.142857143,2.714285714,3.714285714,3.857142857,4.142857143
IM724-010,33,3.761904762,3,3.238095238,2.619047619,3.19047619,,2.380952381,2.857142857,4.476190476,3.64516129,4,,3,3.095238095,4.333333333,3.571428571,3.333333333,4,4.047619048
IM725-142,27.30434783,2.608695652,2.956521739,4.043478261,2.173913043,2.739130435,,1.434782609,3.043478261,5.173913043,4.068965517,3.47826087,,2.260869565,3,3.826086957,2.695652174,3.826086957,4,4.130434783
IM726-248,31.88235294,3.117647059,4.117647059,3.235294118,2.411764706,2.823529412,,1.941176471,2.941176471,5.470588235,3.64516129,3.588235294,,2.647058824,3.705882353,3.647058824,3.176470588,3.647058824,3.941176471,4.117647059
IM727-195,33.38888889,2.5,2.111111111,3.611111111,2.388888889,2.555555556,,1.722222222,4.277777778,5.222222222,3.566666667,2.166666667,,3.111111111,2.944444444,4.388888889,3.055555556,3.777777778,3.888888889,4
IM728-041,26.5,3.111111111,3.444444444,3.333333333,2.666666667,2.833333333,,2.388888889,2.944444444,4.944444444,4.033333333,3.388888889,,3.055555556,2.777777778,4.166666667,3.222222222,3.833333333,4.166666667,3.555555556
IM731-223,28.9,2.7,3,3.3,2.95,3.15,,2.45,3.8,4.65,2.387096774,3,,2.4,2.85,4.4,3.05,3.6,4,4.35
IM736-361,27.78947368,2.894736842,2.315789474,4.578947368,2.789473684,2.105263158,,2.157894737,4.105263158,5.526315789,4.03125,2.631578947,,2.578947368,2.473684211,4.736842105,3.368421053,4.526315789,4.368421053,5.157894737
IM738-191,52.5,2.409090909,2.818181818,3.045454545,2.090909091,1.954545455,,1.727272727,3.136363636,5.045454545,3.5,2.318181818,,1.818181818,2.954545455,3.954545455,2.727272727,3.363636364,4.363636364,5.318181818
IM739-012,29.11111111,3.222222222,3.111111111,3.833333333,3.444444444,3.166666667,,2.555555556,3.833333333,5,1.5,3.111111111,,3.5,3.722222222,4.333333333,4.222222222,4.222222222,4.055555556,4.388888889
IM740-273,31.57142857,4.380952381,3.523809524,3.904761905,2.952380952,3.952380952,,2.857142857,3.142857143,5,1.655172414,4.952380952,,2.666666667,3.19047619,4.476190476,4.095238095,3.904761905,3.952380952,4.238095238
IM743-006,26.8,3.6,3.25,3.75,2.7,3.2,,2.5,3.35,4.8,1.441176471,3.95,,3.1,3.65,4.15,3.5,3.65,4.4,4.3
