Model,Age,Afraid,Angry,Attractive,Babyfaced,Disgusted,Dominant,Feminine,Happy,Masculine,Prototypic,Sad,Suitability,Surprised,Threatening,Trustworthy,Unusual,Warm,Competent,SocialStatus
IF672-305,43.21428571,2.892857143,2.428571429,2.75,2.285714286,2.285714286,,5.107142857,2.714285714,2.321428571,3.344827586,3.357142857,,2.642857143,2.964285714,3.642857143,2.785714286,3.428571429,3.75,3.535714286
IF673-389,37.79411765,3.294117647,2.735294118,2.911764706,2.588235294,2.823529412,,4.970588235,2.588235294,2.205882353,2.896551724,4,,2.235294118,2.823529412,4.294117647,2.911764706,3.529411765,3.235294118,3.617647059
IF676-017,48.7027027,3.621621622,3.621621622,2.72972973,2.108108108,3.459459459,,5.405405405,2.351351351,2.540540541,3,4.891891892,,2.486486486,3.756756757,3.972972973,3.189189189,3.756756757,3.648648649,3
IF677-452-1,45,3.4375,3.5625,2.5625,2.15625,3.25,,5.0625,2.96875,2.6875,2.8,3.4375,,3.125,3.53125,4.0625,3.3125,3.5625,4.0625,3.25
IF691-007,23.78378378,3.081081081,3,4.72972973,3.702702703,3.189189189,,5.459459459,3.108108108,2.378378378,3.655172414,4.027027027,,2.72972973,2.756756757,4.756756757,3.27027027,4.405405405,4.837837838,4.486486486
IF693-172,25.09090909,3.757575758,2.96969697,3.818181818,3.848484848,3,,4.878787879,2.666666667,2.212121212,3.344827586,4.03030303,,3.181818182,2.787878788,4.636363636,3.151515152,3.303030303,4.151515152,3.636363636
IF704-125,38.38235294,3.852941176,3.735294118,3,2.411764706,3.676470588,,5.147058824,2.382352941,2.617647059,3.068965517,5.029411765,,2.911764706,3.088235294,4.5,3.294117647,3.647058824,4.117647059,4.352941176
IF705-196,28.02777778,3.5,2.583333333,3.305555556,3.166666667,2.861111111,,4.75,2.916666667,3.083333333,3.8,3.972222222,,2.583333333,2.805555556,4.305555556,2.5,3.472222222,3.861111111,3.694444444
IF710-016,26.77142857,2.657142857,2.228571429,4.285714286,3.171428571,2.428571429,,5.485714286,4,2.628571429,3.571428571,2.628571429,,2.771428571,2.742857143,5,3.228571429,4.228571429,4.485714286,4.742857143
IF713-170,26.66666667,2.9,2.566666667,3.3,2.566666667,2.833333333,,5.333333333,3.366666667,2.466666667,3.133333333,3.533333333,,2.966666667,2.833333333,4.5,2.8,4.266666667,4.266666667,3.666666667
IF714-008-1,46.08108108,3.567567568,2.594594595,2.945945946,2.135135135,2.810810811,,4.945945946,2.756756757,2.513513514,3.285714286,4.351351351,,2.27027027,3.054054054,4.324324324,2.972972973,3.567567568,3.567567568,3.648648649
IF718-001,28.84210526,2.263157895,2.131578947,3.815789474,2.631578947,2.342105263,,5.210526316,3.736842105,2.236842105,3.333333333,2.5,,2.684210526,2.842105263,4.078947368,2.921052632,3.736842105,4.157894737,4.157894737
IF722-456,37.64705882,3.617647059,2.617647059,2.588235294,2.058823529,4.029411765,,5.058823529,2.235294118,2.529411765,2.857142857,4.705882353,,2.205882353,3.823529412,3.529411765,3.647058824,2.882352941,2.970588235,2.647058824
IF723-255,27.79411765,3.382352941,2.647058824,4.794117647,3.735294118,3.058823529,,5.705882353,2.735294118,2.852941176,3.571428571,4.264705882,,2.911764706,2.794117647,5.117647059,3.205882353,4.647058824,4.558823529,4.882352941
IF729-393,27.45454545,3.121212121,2.666666667,4.242424242,3.303030303,3,,5.606060606,3.060606061,2.666666667,2.866666667,3.242424242,,3.090909091,2.848484848,4.454545455,3.303030303,3.848484848,4.363636364,4.303030303
IF730-410,28.21875,2.5625,2.375,4.59375,2.75,2.375,,5.28125,3.46875,2,3.285714286,3.71875,,2.71875,2.59375,4.21875,2.84375,3.78125,3.96875,4.875
IF732-260,30.10526316,3.157894737,2.131578947,3.078947368,2.789473684,2.526315789,,5.078947368,2.5,2.157894737,1.677419355,4.342105263,,2.131578947,2.5,4.026315789,3.236842105,3.842105263,3.710526316,3.342105263
IF733-110,29.61290323,3.064516129,3,3.35483871,2.870967742,3,,5.096774194,2.838709677,3,2,3.774193548,,2.709677419,3.129032258,3.903225806,2.967741935,3.612903226,3.64516129,3.709677419
IF734-108,24.83870968,2.387096774,1.870967742,3.838709677,3.322580645,2.258064516,,5.193548387,4.193548387,2.322580645,2.103448276,2.419354839,,2.870967742,2.516129032,4.483870968,2.580645161,4.064516129,3.806451613,3.967741935
IF735-353,27.23529412,2.970588235,2.823529412,3.852941176,3.235294118,2.558823529,,5.470588235,3.617647059,2.676470588,1.806451613,3.352941176,,3.029411765,2.823529412,4.735294118,3.205882353,4.117647059,4.117647059,4
IF737-104,51.25,2.96875,2.9375,4.0625,2.78125,2.875,,5.3125,4.25,3,2.64516129,3.09375,,3.40625,3.3125,4.53125,3.5625,4.25,4.6875,4.6875
IF741-040,26.08571429,3.114285714,2.314285714,3.742857143,3.228571429,2.714285714,,5.314285714,2.6,1.914285714,1.793103448,4.742857143,,2.485714286,2.285714286,4.285714286,3.114285714,3.514285714,3.714285714,4.314285714
IF742-103,28.75,2.71875,2.25,3.8125,2.84375,2.34375,,5.59375,2.71875,2.1875,1.827586207,3.5,,2.125,2.46875,4.09375,2.625,3.75,3.875,4.03125
IF744-114,26.20689655,2.896551724,2.172413793,4.724137931,3.517241379,2.448275862,,5.448275862,3.896551724,1.75862069,3.620689655,2.827586207,,2.965517241,1.931034483,5.137931034,3.068965517,4,4.655172414,5.344827586
IM603-305,29.63636364,2.954545455,2.727272727,3.5,2.272727273,2.772727273,,2.227272727,3.5,4.454545455,4.161290323,3.181818182,,3.363636364,3.227272727,4.136363636,3.045454545,3.863636364,4.136363636,4.318181818
IM604-014,37.57894737,3.473684211,3.105263158,4.263157895,2.473684211,3.105263158,,1.842105263,4.210526316,5.368421053,3.294117647,3.105263158,,3.157894737,3.052631579,4.578947368,2.736842105,4.315789474,4.684210526,5
IM606-008,48.44444444,2.333333333,2.555555556,4.5,1.944444444,2.111111111,,1.611111111,4,5.777777778,3.967741935,2.611111111,,3.277777778,3.055555556,4.888888889,3.222222222,4.222222222,4.888888889,5.111111111
IM607-018,28.66666667,1.888888889,1.666666667,4.277777778,2.277777778,1.666666667,,1.388888889,3.666666667,5.666666667,4,2.055555556,,2.555555556,2.666666667,4.333333333,2.666666667,4,4.055555556,5.277777778
IM611-306,36.5,2.9,2.85,3.9,2.35,3,,2.2,4.35,5.15,3.814814815,2.8,,3.25,3.1,4.4,2.8,3.55,4.5,4.25
IM613-169,27.60869565,2.391304348,1.695652174,4.782608696,2.565217391,2.086956522,,2.434782609,3.304347826,5.347826087,3.75862069,3.217391304,,2.434782609,2.130434783,5.130434783,3.347826087,4.391304348,4.347826087,5.260869565
IM615-167,42.95238095,2.523809524,3.238095238,3.333333333,2.19047619,2.619047619,,1.714285714,3.571428571,5.428571429,3.625,2.952380952,,3.19047619,3.428571429,4.095238095,2.904761905,3.523809524,4.333333333,4.476190476
IM616-214,29.65217391,2.173913043,2.130434783,5.086956522,2.869565217,2.173913043,,2.347826087,4.739130435,5.52173913,2.909090909,2.043478261,,3.434782609,2.782608696,4.826086957,2.913043478,4.52173913,4.869565217,4.956521739
IM617-174,45.94117647,2.352941176,3.058823529,4.705882353,2.117647059,2.411764706,,2.235294118,3.705882353,5.823529412,4.2,2.705882353,,3.411764706,3.117647059,5.529411765,3.117647059,4.294117647,5.117647059,5.470588235
IM621-136,33.14285714,2.666666667,2.428571429,4.238095238,2.904761905,2.619047619,,1.952380952,3.857142857,4.904761905,3.966666667,3.238095238,,3.047619048,2.571428571,4.666666667,2.523809524,3.619047619,4.142857143,4.238095238
IM627-178,28.45454545,2.5,2.409090909,5.454545455,3.363636364,2.363636364,,2.909090909,5.545454545,4.909090909,3.235294118,2.318181818,,3.909090909,2.681818182,5.409090909,3.363636364,4.772727273,5.227272727,5.727272727
IM628-176,40.1,2.9,2.85,3.35,2.8,2.95,,2.1,3.6,5.65,3.464285714,3.5,,2.9,3.45,3.8,2.95,3.45,3.75,4.6
IM630-134,32.83333333,3.388888889,3.611111111,3.777777778,2.277777778,3.666666667,,2.777777778,3.388888889,5.166666667,3.939393939,2.833333333,,2.722222222,3.5,4.166666667,3.222222222,4,4.388888889,4.555555556
IM632-097,31.52631579,2.421052632,3.263157895,3.473684211,2.105263158,2.736842105,,1.789473684,2.368421053,5.368421053,3.8125,3.421052632,,3.052631579,3.105263158,3.789473684,3.526315789,3.210526316,4.315789474,4.210526316
IM635-010,43.5,2.590909091,2.863636364,4,2.454545455,2.681818182,,2.454545455,4.272727273,4.863636364,3.620689655,3.227272727,,3.363636364,2.772727273,4.454545455,3.181818182,4.272727273,4.318181818,4.954545455
IM637-007,44.75,2.75,2.8,4.2,2.7,2.75,,2,4.2,5,2.967741935,2.75,,3,2.85,4.6,2.45,4.45,4.45,5.3
IM638-250-1,33.0625,2.875,3.5,3.625,2.5625,2.9375,,2.3125,3.125,4.5,3.206896552,2.6875,,2.75,3.6875,3.5625,2.75,3.625,4.3125,4.3125
IM639-263,50,2.428571429,3.761904762,2,1.714285714,3.428571429,,1.333333333,2.666666667,5.238095238,3.848484848,3.761904762,,2.619047619,3.619047619,4.047619048,3.095238095,3.333333333,3.619047619,3.428571429
IM640-009,36.58823529,2.882352941,2.176470588,3.176470588,2.588235294,2.470588235,,2,4.117647059,4.117647059,3.205882353,2.764705882,,3.411764706,2.823529412,3.941176471,2.529411765,3.764705882,4.058823529,4.764705882
IM645-001,40.76190476,2.285714286,2.19047619,4.333333333,2.19047619,2.571428571,,1.952380952,4.476190476,5.857142857,3.64516129,2.904761905,,3.047619048,3.476190476,4.523809524,3,4.19047619,4.285714286,5.047619048
