Model,Age
BM-250,34.93103448
BM-251,32.96551724
BM-252,37.11538462
BM-253,31.875
LF-200,28.79166667
LF-201,27.2
LF-202,29.85185185
LF-203,23.37037037
LF-204,32.14814815
LF-205,32
LF-206,26.23076923
LF-207,26.10714286
LF-208,24.64285714
LF-209,21.73076923
LF-210,24.80769231
LF-211,22.15384615
LF-212,26.66666667
LF-213,25.8
LF-214,29.375
LF-215,24.56666667
LF-216,24.72
LF-217,26.76666667
LF-218,25.9
LF-219,24.96153846
LF-220,22.16
LF-221,25.80769231
LF-222,27.53846154
LF-223,28.19230769
LF-224,32.26086957
LF-225,24.70833333
LF-226,25.38461538
LF-227,21.44444444
LF-228,24.5862069
LF-229,25.86956522
LF-230,24.7037037
LF-231,30.34615385
LF-232,25.23076923
LF-233,47.92
LF-234,26.11538462
LF-235,24.73076923
LF-236,24.32
LF-237,30.28571429
LF-238,42.33333333
LF-239,27.06451613
LF-240,43.17241379
LF-241,29.85185185
LF-242,23.22222222
LF-243,24.73076923
LF-244,24.61538462
LF-245,32.79310345
LF-246,30.88888889
LF-247,29.40740741
LF-248,31.95833333
LF-249,28.51724138
LF-250,28.7037037
LF-251,29.85185185
LF-252,28.22222222
LF-253,27.46153846
LF-254,22.125
LF-255,25.23076923
LM-200,25.93103448
LM-201,31.17857143
LM-202,35.19230769
LM-203,44.09090909
LM-204,40.06896552
LM-206,22.70833333
LM-207,20.5
LM-208,25.14285714
LM-209,22.35714286
LM-210,29.48148148
LM-211,19.35714286
LM-212,23.08
LM-213,30.29166667
LM-214,27.5
LM-215,37.65384615
LM-216,22.59259259
LM-217,33.44
LM-218,31.14814815
LM-219,26.7037037
LM-220,31.14285714
LM-221,34.62962963
LM-222,44.32
LM-223,28.75
LM-224,26.55172414
LM-225,24.74074074
LM-226,37.39130435
LM-227,32.27586207
LM-228,36.14285714
LM-229,38.48
LM-230,37.96296296
LM-231,27.92
LM-232,31.65384615
LM-233,33.42307692
LM-234,30.60714286
LM-235,32.17241379
LM-236,43.85714286
LM-237,50
LM-238,27.04
LM-239,27.53846154
LM-240,35.54166667
LM-241,26.14285714
LM-242,21.42307692
LM-243,21.64285714
LM-244,24.17857143
LM-246,28.7037037
LM-247,25.41666667
LM-248,24.75862069
LM-249,21.79166667
LM-250,22.64285714
LM-251,26.44
LM-252,28.66666667
LM-253,28.36363636
WF-001,24.94949495
WF-002,30.15957447
WF-003,26.71428571
WF-005,22.39325843
WF-006,24.33684211
WF-007,21.79787234
WF-008,30.21052632
WF-009,23.30526316
WF-010,26.25
WF-011,24.04166667
WF-012,23.17525773
WF-013,26.42391304
WF-014,36.1
WF-015,24.21111111
WF-016,25.41111111
WF-017,23.30337079
WF-018,33.86516854
WF-019,28.34782609
WF-020,26.02222222
WF-021,25.69230769
WF-022,19.91397849
WF-023,32.74193548
WF-024,23.93617021
WF-025,28.10869565
WF-026,37.22680412
WF-027,21.29213483
WF-028,27.25
WF-029,24.36046512
WF-030,24.17977528
WF-031,23.23529412
WF-033,32.04040404
WF-034,28.11827957
WF-035,24.76136364
WF-036,22.64444444
WF-037,23.5
WF-038,28.72282609
WF-039,23.72340426
WF-200,33.04
WF-201,27
WF-202,27.96551724
WF-203,23.55555556
WF-204,25.39285714
WF-205,27.56
WF-206,28.06896552
WF-207,24.875
WF-208,26.44444444
WF-209,27.79310345
WF-210,27.38461538
WF-211,21.55172414
WF-212,22.96551724
WF-213,25.65517241
WF-214,28.34482759
WF-215,30.64
WF-216,39.30769231
WF-217,32.88461538
WF-218,28.96551724
WF-219,24.65384615
WF-220,24.4137931
WF-221,42.32142857
WF-222,38.8
WF-223,23.26923077
WF-224,30.625
WF-225,26.22222222
WF-226,32.23809524
WF-227,26.92592593
WF-228,36.23076923
WF-229,22.92
WF-230,22.76
WF-231,26.31034483
WF-232,25.27586207
WF-233,22.60869565
WF-234,22.62962963
WF-235,29.61538462
WF-236,26.38461538
WF-237,39.76923077
WF-238,25.24
WF-239,27.45833333
WF-240,44.75862069
WF-241,32.68
WF-242,27.28571429
WF-243,26.48
WF-244,26.63636364
WF-245,35.71428571
WF-246,42.82142857
WF-247,26.41666667
WF-248,29.44444444
WF-249,29.42857143
WF-250,36.8
WF-251,50.43478261
WF-252,26.46428571
WM-001,16.93548387
WM-002,30.43209877
WM-003,23.3452381
WM-004,25.8172043
WM-006,25.64534884
WM-009,23.69565217
WM-010,27.39784946
WM-011,30.98863636
WM-012,32.14444444
WM-013,32.37931034
WM-014,33.71428571
WM-015,23.37209302
WM-016,30.39534884
WM-017,23.58510638
WM-018,36.16304348
WM-019,25.10869565
WM-020,34.96590909
WM-021,29.11627907
WM-022,29.06451613
WM-023,37.59340659
WM-024,20.81707317
WM-025,21.12359551
WM-026,25.68604651
WM-028,24.92682927
WM-029,28.5862069
WM-031,21.73563218
WM-032,25.49425287
WM-033,26.59340659
WM-034,23.22093023
WM-035,20.70652174
WM-036,22.6627907
WM-037,17.55172414
WM-038,25.51685393
WM-039,19.23863636
WM-040,25.11702128
WM-041,24.96511628
WM-200,19.5
WM-201,38.91304348
WM-202,21.69230769
WM-203,29.25
WM-204,35.13333333
WM-205,29.36
WM-206,23.32258065
WM-207,26.58333333
WM-208,26.13793103
WM-209,20.39285714
WM-210,21.5
WM-211,27.79310345
WM-212,30.11111111
WM-213,26.36
WM-214,25.12
WM-215,29
WM-216,30.88461538
WM-217,18.73076923
WM-218,25.82142857
WM-219,22.16666667
WM-220,37.22222222
WM-221,41.07407407
WM-222,33.03448276
WM-223,42.76
WM-224,26.28571429
WM-225,36.82142857
WM-227,25.82608696
WM-228,31.07407407
WM-229,24.69565217
WM-230,21.60714286
WM-231,20.5862069
WM-232,23.2962963
WM-233,33.33333333
WM-234,23.31034483
WM-235,20.75
WM-236,20.73076923
WM-237,29
WM-238,24.81818182
WM-239,18.03571429
WM-240,34.38461538
WM-241,34.25925926
WM-242,23.06896552
WM-243,31.44
WM-244,30.51851852
WM-245,26.27586207
WM-247,25.5
WM-248,41.69230769
WM-249,43.18518519
WM-250,21.12
WM-251,27.72
WM-252,32.77777778
WM-253,24
WM-254,30.30769231
WM-255,34.07142857
WM-256,30.96153846
WM-257,30.03703704
WM-258,37.85185185
